messageID,originatingStationId,sequence,referenceTime,detectionTime,stationID
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
4,0,0,0,0,1000000
